time,latitude,longitude,700,850,1700,1900
358,41.87175009,-87.64841201,78.83145,91.20568,98.35973,94.81843
359,41.87174601,-87.64842084,76.84708,97.20568,90.38316,94.45905
360,41.87174601,-87.64842084,79.78458,95.62756,102.9222,94.93562
361,41.87174601,-87.64842084,81.38614,90.25256,96.38316,94.14655
362,41.87174184,-87.6484297,77.43301,92.12756,94.5316,91.45124
363,41.87173353,-87.64844711,79.57364,95.65099,91.8441,92.00593
364,41.87172939,-87.64845534,79.54239,99.61974,106.2113,88.65437
365,41.87172101,-87.64847273,78.03458,93.34631,104.5785,102.7481
366,41.87172101,-87.64847273,77.91739,92.01037,103.2113,89.95905
367,41.87172101,-87.64847273,78.44864,89.26818,88.63316,113.4747
368,41.87172101,-87.64847273,81.12833,93.05724,91.75816,100.2247
369,41.87172101,-87.64847273,80.51895,99.85412,97.73473,96.12312
370,41.87172101,-87.64847273,78.37833,99.86193,89.07848,92.3653
371,41.87171209,-87.64848917,79.47208,93.55724,89.72691,89.37312
372,41.87170783,-87.64849696,77.31583,86.97131,95.47691,98.88093
373,41.87170353,-87.64850503,78.04239,95.97912,91.6566,103.5372
374,41.87170353,-87.64850503,82.91739,89.42443,88.45348,93.0528
375,41.87169474,-87.64852024,80.39395,97.11193,98.99254,92.13093
376,41.87169044,-87.64852688,80.26895,102.6588,96.69566,103.5059
377,41.8716861,-87.64853382,77.91739,101.8541,90.91441,103.6309
378,41.8716861,-87.64853382,80.75333,96.41662,92.06285,94.95905
379,41.87168136,-87.64854181,79.54239,99.08849,87.82848,110.4434
380,41.87167678,-87.64854951,79.59708,103.4166,88.82848,97.95124
381,41.87167678,-87.64854951,78.13614,89.57287,92.19566,100.6387
382,41.87167678,-87.64854951,77.12833,87.94006,87.89879,92.24812
383,41.87167678,-87.64854951,81.69083,106.3072,91.93785,94.6153
384,41.87167678,-87.64854951,78.7377,92.48693,94.38316,99.48249
385,41.87167197,-87.64855712,77.75333,91.22912,97.03941,93.87312
386,41.87167197,-87.64855712,79.22208,99.61974,90.63316,95.63874
387,41.87167197,-87.64855712,80.64395,99.42443,96.39098,97.59187
388,41.87167197,-87.64855712,79.83145,93.99474,94.26598,95.6153
389,41.87167197,-87.64855712,77.90176,100.3776,89.99254,89.1153
390,41.87166666,-87.64856497,80.40958,92.46349,107.4066,96.82624
